Word,Frequency,Impact_Value
adjustable,758.8491662305835,11434.174626300952
adjustable door,80.026492702282,-9464.243326887134
adjustable driver,92.53290633172936,-7674.314950477266
adjustable heated,313.1187640785183,-1391.138729342495
adjustable seats,471.81465044043705,5613.831149063869
adjustable steering,75.19332424915538,243.00192322701835
adjustable suspension,74.8746655842597,1927.776723563291
adjusted,86.87337365025897,15532.332277963207
adjustment,63.72452643637407,3282.1710744933252
advanced,103.86459410280993,6024.347158664237
aerodynamic,73.58527687353552,8738.289651691717
affordable,61.77849818343862,1403.1858748329491
aftermarket,811.9557045067785,-15055.86555625752
aftermarket exhaust,98.23504327775242,-1272.6366887991578
aftermarket parts,58.71095739167257,2576.7226145477607
aftermarket rear,83.67996711129365,-1715.5091149156453
aftermarket shift,75.15246261819276,1479.0847117574785
aftermarket wheels,63.435845094167526,-11300.07204777004
ago,66.25191810631078,415.0202435766205
aid,73.65516683684271,-238.34704317143562
aid kit,65.95103664503542,-1158.747213030745
airbag,107.15699471391628,-1818.0415130960353
airbags,109.43531051955279,-3562.3278873132317
airbags did,69.1777823944672,-936.8455242115074
alarm,76.65567962637077,-1920.6013270970304
alcantara,175.9722021405843,26277.216949590293
alcantara upholstery,70.40749686882886,44586.763975843925
alert,62.389624689961686,-4709.0089192110345
alignment,313.93084004855535,-10350.496512712349
alignment performed,294.40405562772577,-7078.738161948908
allow,134.58649272740664,1280.319318445981
allow transfer,131.71083615516667,1415.184090500747
alloy,390.3845425153042,-7550.154681278273
alloy wheels,379.91343732639103,-11761.955506447157
alternative,69.5696442348315,-12398.879357045587
alternator,110.27489745795089,4458.852946215615
aluminum,351.7921046685707,4362.246420726365
aluminum interior,63.974884919053046,1340.148622226789
aluminum wheels,91.00723569154191,-13294.571509290117
ambient,73.91006437657887,11513.9961737658
america,120.84192551138594,12482.627109112509
american,166.4005533665437,-1232.262136886529
american market,69.37027939007235,-8580.853030105198
amplifier,89.43005800757932,3302.5606419976125
android,134.7164540212155,-2915.095975963757
anniversary,72.54011825235872,-6209.7464537012875
antenna,137.5586698230995,-11870.584561988819
anthracite,79.18163984553401,-1697.1893448523992
anti,95.73472500048972,-6398.653095362282
appearance,74.96365352155354,-12065.630753188321
appears,94.9880413389855,-3421.0272663900255
appears carfax,67.8654197047219,-1800.2090754311455
apple,180.7159643363693,-457.6838156156569
apple carplay,178.13338990736895,-2027.742066040004
applied,165.19594632508708,-5373.538480688337
approximately,543.7444123076351,-4143.335258892915
approximately 000,141.37658837181883,3472.345778758959
approximately miles,242.5606032470468,20678.750426884708
apr,69.66190533958996,-8223.684422610975
april,413.61300918722856,-5974.231798970979
april 2019,64.32760093652077,-1110.919288116871
april 2020,66.03642294709564,-3686.305747417742
april 2021,122.17845416312403,-5384.578745269325
april 2022,116.01262416070216,-4491.225715452645
april 2023,115.69940696093492,-5299.326845471377
april 2024,99.19901994292071,2226.7448963687725
april 2025,76.50555708664199,-183.91921774706572
arch,65.52192849754465,7488.327348622476
area,94.73761138622143,-3999.188921529677
arizona,82.95263815859452,-8372.638726336461
arm,130.2929884286546,418.02371328810204
arm bushings,55.000003224260624,3269.110084425044
armrest,80.6638693490013,-9636.058117477602
arms,146.36740856206782,-5919.135532873459
arrived,149.32162002311242,23977.940713934942
ash,72.18534796942899,9221.525878142418
aspirated,101.80109757206715,17488.547893336698
assembly,120.26104813280624,703.4556360374696
assembly replaced,59.45923923571685,-2292.8750555572274
assist,336.39690955016056,-5962.710024183708
assistance,172.62561144358233,8555.69746928422
assistance package,74.75127268827269,-3477.960992364676
assistant,64.94205980172255,3195.9426043304998
aston,68.67912405816983,-3678.9068366055812
auction,86.31851487693159,-11503.493906593792
audio,301.28850290512145,-1598.5641481326404
august,432.0676961036145,-5673.078083391758
august 2019,73.93587790988127,-1042.3988839384272
august 2020,101.25144208404458,-269.01772325436104
august 2021,120.52559166533021,-3625.438296785264
august 2022,124.7936850256116,-4032.841055170629
august 2023,112.06576719548272,-2387.854416921825
august 2024,92.74699361876876,-740.4159086895519
august 2025,61.409823842640165,-1180.0599247234143
autocheck,174.19626173992344,-25656.742862473
autocheck vehicle,109.17793552717524,-14587.155042507111
automatic,799.1283079925475,-10829.270639586322
automatic climate,522.6927892049287,2511.130749693298
automatic transmission,444.918045656736,-4341.215328237518
automotive,57.25194899223478,11877.671866317707
auxiliary,134.0210793249437,-1373.4661374076682
available,395.2550922494864,-22297.133415624725
available loan,100.25630909682576,-874.5491191936359
available request,62.751580794733655,7735.74241140071
available service,111.89095166464826,-5524.66114035574
axle,217.56322323961547,47929.38024933579
axles,93.04880657694693,17159.22217388707
backup,67.73177569075428,-4723.039656178652
backup camera,62.54065814086136,-4731.592042514468
badge,122.11235612694448,65.27763356656327
badges,105.678979746611,-7994.28145613722
badging,63.249848594406494,-797.1171380213215
bag,69.09819200551688,-226.13147304239308
balanced,199.1916855227429,-5941.461482439007
ball,73.26553204722246,-1889.905511354512
bang,109.25820193267771,-1515.7224640550867
bang olufsen,108.83294205821753,-2033.0647566866246
bar,263.11632475099685,-9205.720732536256
bars,130.16645514191953,-6269.23637789737
base,83.25819336560465,753.9518712466332
based,178.73014351403694,-7362.580839575058
battery,444.4532475439405,5278.527804747179
battery pack,130.21582234395842,5656.083731735427
