Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
BMW,7 Series,4WD/AWD,Sedan,Automatic,V12
Ford,Mustang,Rear-wheel drive,Coupe,Automatic,I4
Hyundai,Veloster,Front-wheel drive,Hatchback,Automatic,I4
Volkswagen,Mk7 GTI,Front-wheel drive,Hatchback,Automatic,I4
Toyota,Tundra,4WD/AWD,Truck,Automatic,V8
BMW,3 Series,4WD/AWD,Sedan,Automatic,I6
Toyota,Tacoma,Rear-wheel drive,Truck,Automatic,V6
Mercedes-Benz,C-Class AMG,Rear-wheel drive,Convertible,Automatic,V8
Mercedes-Benz,GLC AMG,4WD/AWD,SUV/Crossover,Automatic,V6
Lotus,Evora,Rear-wheel drive,Coupe,Manual,V6
BMW,3 Series,4WD/AWD,Sedan,Automatic,I4
Jaguar,F-Type,4WD/AWD,Coupe,Automatic,V6
Infiniti,Q60,4WD/AWD,Coupe,Automatic,V6
MINI,Cooper Countryman,4WD/AWD,SUV/Crossover,Automatic,I4
Mercedes-Benz,E-Class AMG,4WD/AWD,Convertible,Automatic,I6
BMW,2 Series,4WD/AWD,Convertible,Automatic,I6
Volkswagen,Mk7 GTI,Front-wheel drive,Hatchback,Manual,I4
Audi,A4,4WD/AWD,Wagon,Automatic,I4
Mercedes-Benz,AMG GT,Rear-wheel drive,Coupe,Automatic,V8
Rolls-Royce,Wraith,Rear-wheel drive,Coupe,Automatic,V12
Lotus,Evora,Rear-wheel drive,Coupe,Automatic,V6
Lexus,LS,Rear-wheel drive,Sedan,Automatic,V6
Mercedes-Benz,AMG GT,Rear-wheel drive,Convertible,Automatic,V8
Jeep,Gladiator,4WD/AWD,Truck,Manual,V6
Aston Martin,Vantage,Rear-wheel drive,Coupe,Manual,V8
Audi,TT RS,4WD/AWD,Coupe,Automatic,I5
Ford,Transit Connect,Front-wheel drive,Van/Minivan,Automatic,I4
Kia,Stinger,Rear-wheel drive,Sedan,Automatic,V6
Dodge,Challenger,Rear-wheel drive,Convertible,Automatic,V6
Mercedes-Benz,W213 E-Class AMG,4WD/AWD,Sedan,Automatic,I6
Lexus,LC 500,Rear-wheel drive,Coupe,Automatic,V8
